Location,State,State_Name,Latitude,Longtitude
Jersey City,NJ,New Jersey,40.7164,-74.038
Kansas City,KS,Kansas,39.115733,-94.627139
Kearny,NJ,New Jersey,40.76466,-74.147108
Kenosha,WI,Wisconsin,42.605228,-87.829945
Lebanon,TN,Tennessee,36.209792,-86.302367
Lewisville,TX,Texas,33.046111,-96.993889
Lexington,KY,Kentucky,38.017394,-84.485423
Lincoln,RI,Rhode Island,41.908906,-71.434777
Lockbourne,OH,Ohio,39.814236,-82.976369
Long Beach,CA,California,33.7705,-118.1885
Los Angeles,CA,California,33.973093,-118.247896
Louisville,KY,Kentucky,38.2435,-85.7639
McLean,VA,Virginia,38.9339,-77.1773
Memphis,TN,Tennessee,35.0337,-89.9343
Menlo Park,CA,California,37.453401,-122.179136
Miami,FL,Florida,25.779,-80.1982
Middletown,DE,Delaware,39.481535,-75.683183
Minneapolis,MN,Minnesota,44.983473,-93.268251
Monee,IL,Illinois,41.419133,-87.77484
Monroe,LA,Louisiana,32.528551,-92.106104
Mooresville,NC,North Carolina,35.577358,-80.822629
Moreno Valley,CA,California,33.8858,-117.2211
Mountain Home,AR,Arkansas,36.331153,-92.375337
Nashville,TN,Tennessee,36.167028,-86.778441
New Albany,OH,Ohio,40.084686,-82.798793
New York,NY,New York,40.74838,-73.996705
Newark,DE,Delaware,39.634869,-75.699339
Newport Beach,CA,California,33.6398,-117.8643
North East,MD,Maryland,39.604535,-75.953805
North Haven,CT,Connecticut,41.382156,-72.85852
North Randall,OH,Ohio,41.4274,-81.526
Northbrook,IL,Illinois,42.125443,-87.846535
Oak Creek,WI,Wisconsin,42.88916,-87.902661
Oklahoma City,OK,Oklahoma,35.3337,-97.4922
Olive Branch,MS,Mississippi,34.94414,-89.854427
Ormond Beach,FL,Florida,29.2855,-81.0561
Palo Alto,CA,California,37.444324,-122.149685
Patterson,CA,California,37.490592,-121.140732
Pennington,NJ,New Jersey,40.333858,-74.794352
Philadelphia,PA,Pennsylvania,39.864998,-75.275196
Phoenix,AZ,Arizona,33.451,-112.0685
Pittsburgh,PA,Pennsylvania,40.474536,-79.952524
Plano,TX,Texas,33.054972,-96.736454
Portland,ME,Maine,43.660564,-70.258864
Portland,OR,Oregon,45.442919,-122.615092
Providence,RI,Rhode Island,41.8255,-71.4114
Punta Gorda,FL,Florida,26.915163,-82.053166
Raleigh,NC,North Carolina,35.772701,-78.632439
Raritan,NJ,New Jersey,40.57109,-74.637691
Redlands,CA,California,34.039659,-117.180352
Redmond,WA,Washington,47.671796,-122.123242
Redwood City,CA,California,37.464661,-122.230406
Reston,VA,Virginia,38.96,-77.3456
Rialto,CA,California,34.113155,-117.377133
Richardson,TX,Texas,32.965986,-96.745249
Richmond,UT,Utah,41.928223,-111.806922
Richmond,VA,Virginia,37.582473,-77.519657
Robbinsville Township,NJ,New Jersey,41.2162,-74.6195
Rockford,IL,Illinois,42.292233,-89.116118
Rogers,AR,Arkansas,36.336316,-94.114784
Rolling Meadows,IL,Illinois,42.072979,-88.019075
Romulus,MI,Michigan,42.220304,-83.358288
Rossford,OH,Ohio,41.604908,-83.563793
Sacramento,CA,California,38.5816,-121.4933
Salt Lake City,UT,Utah,40.755851,-111.896657
San Antonio,TX,Texas,29.468525,-98.526352
San Bernardino,CA,California,34.110521,-117.289753
San Diego,CA,California,32.71852,-117.159316
San Francisco,CA,California,37.621944,-122.381944
San Jose,CA,California,37.3894,-121.8868
San Mateo,CA,California,37.572271,-122.320262
Santa Clara,CA,California,37.34732,-121.954079
Santa Monica,CA,California,34.017628,-118.490708
Sausalito,CA,California,37.860147,-122.494555
Scottsdale,AZ,Arizona,33.521767,-111.904926
Seattle,WA,Washington,47.611435,-122.330456
Shepherdsville,KY,Kentucky,38.004515,-85.688767
Somerset,NJ,New Jersey,40.500743,-74.50126
Somerville,MA,Massachusetts,42.382945,-71.102814
South San Francisco,CA,California,37.65382,-122.4347
Southbury,CT,Connecticut,41.476695,-73.224077
Sparrows Point,MD,Maryland,39.229068,-76.446937
Spartanburg,SC,South Carolina,34.9496,-81.932
Spokane,WA,Washington,47.666485,-117.436527
Spring House,PA,Pennsylvania,40.186954,-75.237501
Springfield,VA,Virginia,38.779718,-77.186582
St Louis,MO,Missouri,38.627,-90.1994
St Peters,MO,Missouri,38.7875,-90.6299
Starmount,NC,North Carolina,35.1417,-80.8682
Staten Island,NY,New York,40.631602,-74.092663
Stockton,CA,California,37.958,-121.2876
Sunnyvale,CA,California,37.368889,-122.035278
Tallahassee,FL,Florida,30.428563,-84.259337
Tampa,FL,Florida,28.0879,-82.4593
Tempe,AZ,Arizona,33.4273,-111.9307
Teterboro,NJ,New Jersey,40.86175,-74.054204
Titusville,NJ,New Jersey,40.307728,-74.865469
Topeka,KS,Kansas,39.0541,-95.6719
Tracy,CA,California,37.754444,-121.369722
Tucson,AZ,Arizona,32.213873,-110.969445
Twinsburg,OH,Ohio,41.328851,-81.455912
Utica-Rome Area,NY,New York,43.1009,-75.2327
Vienna,VA,Virginia,38.893527,-77.253219
Wallingford,CT,Connecticut,41.459997,-72.822179
Washington,DC,District of Columbia,38.912217,-77.017691
Waterloo,CA,District of Columbia,38.912217,-77.017691
Wellesley,MA,Massachusetts,42.2986,-71.3016
West,TX,Texas,31.775385,-97.125843
West Columbia,SC,South Carolina,33.9935,-81.074
West Jordan,UT,Utah,40.625429,-111.967662
West Palm Beach,FL,Florida,26.713956,-80.065874
Westerville,OH,Ohio,40.114569,-82.910504
White Plains,NY,New York,41.032955,-73.765231
Whiteland,IN,Indiana,39.555313,-86.093476
Wilkesboro,NC,North Carolina,36.135857,-81.157292
Wilmington,CT,Connecticut,41.8809,-72.2601
Wilmington,DE,Delaware,39.737752,-75.549658
Wilmington,IL,Illinois,41.298063,-88.130083
Wilmington,MA,Massachusetts,42.558143,-71.172306
Wilmington,OH,Ohio,39.448788,-83.841653
Winchester,KY,Kentucky,37.987161,-84.178894
Windsor,CT,Connecticut,41.8525,-72.644167
Woonsocket,RI,Rhode Island,41.99948,-71.513683
